Organisme,Acronyme,URL Annuaire
Direction interministérielle du numérique,DINUM,https://lannuaire.service-public.fr/gouvernement/administration-centrale-ou-ministere_194230
Commissariat à l'énergie atomique et aux énergies alternatives,CEA,https://lannuaire.service-public.fr/gouvernement/etablissement-public_170735
